title,museum,era,material,size
水上航空公司错过了喷泉,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 13.8厘米
wall,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
墙冠上的冷创造者,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.3厘米
蜥蜴向死亡神祈祷,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：24.8 x 14.0厘米
男人用苦草,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.7 x 13.8厘米
穿着瓷器的男人,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
Der Ebergeist Zhu Bajie,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
责骂和尚,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 13.3厘米
壁冠上的小麦种植,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
烟囱烟,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
行人,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
Pirol攻击鸽子,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
鲍尔在瓷器商店前,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.0厘米
盲刀磨床,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
醉酒神,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.0厘米
Gott和Bocksdornen,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.0厘米
国王的庙被淹没了,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 13.8厘米
渴望的和尚,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
男人用大麻茎击中狼,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.2厘米
穆罕默德升入河,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.0厘米
用玉米打破生产,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.0厘米
在磨坊里的Zither游戏,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 13.5厘米
射手,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
火车冲压移动,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.0厘米
用眼镜闪烁的贝壳,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 13.8厘米
购买羔羊,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
杜松子树的曼陀林玩家,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 13.8厘米
挂新年图片,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 13.8厘米
莫恩菲尔德研究,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
弓箭王在射箭时遇到了埃伯斯特,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.2厘米
埃米主义者的播放声音,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.4 x 14.3厘米
当前的鞋类卖家,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.4 x 13.8厘米
新年蛋糕与日期,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.0厘米
无能为力的天堂大师,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.2厘米
通过杀戮财富,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
为长寿的上帝牺牲纸,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.0厘米
借鸭,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.5厘米
长寿的神与驴,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
用马鞍großkopffisch,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.7 x 14.5厘米
欺骗女神,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
抢木偶剧院玩家,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
Schwalbenjäger,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.2厘米
困惑,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
一个人刷并贴上天空,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
愚蠢的农民,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
慢慢的乌龟,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
一个盲人带领驴子,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.3厘米
虚伪的老虎和念珠,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.5厘米
Teufels协议,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.5厘米
老虎的惩罚,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.3 x 14.5厘米
Götternische (mu diao shenzuo 木彫神座),柏林州立博物馆,,,对象维度：88 x 34 x 23厘米
Dörbed王子BuyanTegüs的肖像,柏林州立博物馆,大约在1755年（18世纪）,纸上油画,"Passepartout: 83,1 x 67 cm"
dörbed王子Cering的肖像,柏林州立博物馆,大约在1755年（18世纪）,纸上油画,叶子大小：69.7 x 54.6厘米
Manjurian军官Koma的肖像，系列2B27,柏林州立博物馆,um 1755,纸上油画,"Passepartout: 83,2 x 67 cm"
Orakelknochen 甲骨文字,柏林州立博物馆,Shang-Zeit (?),骨,
Manjughosa,柏林州立博物馆,,Holz,对象维度：31 x 20 x 10厘米
绘画：芥末谷物花园,柏林州立博物馆,,Papier,对象维度：H：20.4厘米B：14厘米
戏剧场景十字坡shizi po（地点或坡度。）,柏林州立博物馆,,Papier,叶子大小：19.8 x 20.0厘米
面孔的处理,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1895",丝绸,图片：15.3 x 19.5厘米（在通过聚会中）
“景观”,柏林州立博物馆,,瓷,身高：4.7厘米
Yamantar的肖像,柏林州立博物馆,um 1776,纸上油画,叶子大小：70.0 x 55.0厘米
Konzil von Rajagrha,柏林州立博物馆,7世纪,粘土上的颜色,高度x宽度x深度：185 x 212 x 6厘米（在石膏中）
讲道场景：僧侣和黑暗的公主,柏林州立博物馆,6世纪,粘土上的颜色,高度x宽度x深度：114.5 x 116.7 x 5.5厘米（石膏）
佛陀的讲道,柏林州立博物馆,6. Jh.,粘土上的颜色,高度x宽度x深度：70 x 250 x 15厘米
飞翔的神灵,柏林州立博物馆,6. Jh.,粘土上的颜色,高度x宽度x深度：143 x 281.8 x 5.9厘米（石膏）
马拉斯进攻,柏林州立博物馆,6./7. Jh.,粘土上的颜色,高度x宽度x深度：145 x 211.7 x 3.5厘米（石膏）
两个跪着的创始人僧侣,柏林州立博物馆,,粘土上的颜色,高度x宽度：28 x 25.4厘米
佛陀和伴随的人物,柏林州立博物馆,,粘土上的颜色,高度x宽度x深度：229 x 141 x 2.6厘米（石膏）
佛教场景的一部分,柏林州立博物馆,,粘土上的颜色,高度x宽度x深度：58 x 83 x 3.6厘米（木头上的石膏）
碎屑,柏林州立博物馆,6./7. Jh.,粘土上的颜色,高度x宽度x深度：23 x 40 x 3.9厘米（在木头上的石膏中）
加鲁达（神话鸟）和蛇,柏林州立博物馆,,粘土上的颜色,高度x宽度x深度：25 x 31.5 x 5厘米
五个僧侣碎片从一个讲道的场景中,柏林州立博物馆,6世纪,粘土上的颜色,高度x宽度x深度：56 x 70 x 3.6厘米（在木头上的石膏）
Devata头（神的头）,柏林州立博物馆,6. Jh.,粘土上的颜色,高度x宽度x深度：33 x 24 x 3.8厘米（在木头上的石膏）
akanthus frize-中边缘，左侧墙,柏林州立博物馆,5世纪,粘土上的颜色,高度x宽度x深度：37 x 74 x 5厘米
Śronakotikarna Legende,柏林州立博物馆,5世纪,粘土上的颜色,高度x宽度x深度：75 x 726 x 5厘米
