Subject,Predicate,Object
Kopfstütze mit Landschaftsdekor,描述,"Eine Darstellung aus dem Genre der Landschaftsmalerei, die in einen locker skizzierten geschweiften Rahmen gefasst ist, schmückt die schräge Oberseite dieser Kopfstütze. Bei einer Baumgruppe zur Linken steht ein Mann auf einer Landzunge und blickt zu einem Wasserfall am jenseitigen Ufer, der aus einem steilen überhängenden Felsen herabstürzt. Die hohe Wand der Kopfstütze zeigt in großzügig-spontaner Malweise stilisierte Rankenmotive. Die Bemalung steht über einer weißen Engobe, um für den Dekor einen starken farblichen Kontrast zu erzielen. Nicht nur in Cizhou, dem heutigen Kreis Ci in der Provinz Hebei, wurde die für ihre robuste Formgebung und die Frische und Unmittelbarkeit ihres Dekors bekannte Alltagsware hergestellt, Produktionsstätten waren im ganzen nordchinesischen Raum verbreitet. Die Kopfstütze in der Berliner Sammlung gehört mit der Darstellung einer stimmungsvollen Landschaft zu den schönsten bemalten Beispielen, die sich in der von den Jurchen gegründeten Jin-Dynastie besonderer Beliebtheit erfreuten. Keramische Kopfstützen, die in den Sommermonaten dem Nacken als kühlender Ruheplatz dienen konnten, wurden während der Tang-Dynastie (618–906) beliebt und zählten zu gebräuchlichen Produkten einer Reihe bedeutender Brennöfen in der Song- und Yuan-Dynastie (10. bis 14. Jh.). Neben den Kopfstützen der volkstümlichen Cizhou-Ware waren auch die verfeinerten, in der Vielfalt ihrer Formschöpfungen und Raffinesse der Dekore bestechenden Produkte der Ding- und Yingqing-Öfen gefragt."
Kopfstütze mit Landschaftsdekor,图片链接,https://recherche.smb.museum/images/1214952_300x300.jpg
Kopfstütze mit Landschaftsdekor,详情链接,https://id.smb.museum/object/975447/kopfstutze-mit-landschaftsdekor
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",属于,Staatliche Museen zu Berlin
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",年代,17. Jh.
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",材料,"Eisen, Reste von Goldbemalung"
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",大小,"Objektmaß: 61 x 59,5 x 62,5 cm"
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",描述,"&nbsp;Im Mahayana-Buddhismus betrachtet man auch historische Personen als Wiedergeburt eines erleuchteten Wesens, sog. Bodhisattva. Der Budai heshang (Hanfsack-Mönch, ca. 9. Jh.) gilt als Verkörperung des zukünftigen Buddha Maitreya. und ist bis heute eine der populärsten buddhistischen Heilsgestalten Ostasiens. Mit dickem Bauch, lachend und in verlotterter Kleidung ist er als ein in den Tag hineinlebender Vagabund dargestellt, der sich nicht für das Studium heiliger Schriften interessiert. Damit stellt er das asketische Ideal des studierenden Mönchs infrage und zeigt, dass Erleuchtung und Befreiung aus dem Geburtenkreislauf auch ohne strenge Regeln möglich sind."
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",图片链接,https://recherche.smb.museum/images/2357833_300x300.jpg
"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",详情链接,https://id.smb.museum/object/608873/monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A-dickbauchmaitreya-da-duzi-milefo-%E5%A4%A7%E8%82%9A%E5%AD%90%E5%BD%8C%E5%8B%92%E4%BD%9B-monch
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",属于,Staatliche Museen zu Berlin
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",年代,sp. Yuan-Dynastie (Yüan)/f. Ming-Zeit
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",材料,"Porzellan, Qingbai-Glasur"
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",大小,"Objektmaß: 46,5 x 31 x 21 cm"
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",描述,"Der Bodhisattva Avalokiteshvara verkörpert die selbstlose Güte Buddhas. Ein sanftes Lächeln liegt auf seinem Gesicht. Die Lotosposition seiner Beine verweist auf die Praxis der Meditation. Vermutlich hatte die weiße Glasur eine rituelle Funktion. Ein Ritualhandbuch aus der Mongolenzeit (1279–1368) beschreibt, dass die Praktizierenden sich selbst als mondgleich weiß imaginieren sollen, um sich mit Avalokiteshvara zu identifizieren – um dann, als dessen Verkörperung, Verstorbene von Höllenqualen zu erlösen."
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",图片链接,https://recherche.smb.museum/images/2337928_300x300.jpg
"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",详情链接,https://id.smb.museum/object/1025129/guanyin-bodhisattva--der-barmherzigkeit-chin--guanyin-pusa-%E8%A7%80%E9%9F%B3%E8%8F%A9%E8%96%A9
Medaillon-Tapete à la chinoise,属于,Staatliche Museen zu Berlin
Medaillon-Tapete à la chinoise,年代,spätes 18. Jahrhundert
Medaillon-Tapete à la chinoise,材料,"Gouache, handgeschöpftes Papier"
Medaillon-Tapete à la chinoise,大小,"Blattmaß: 9 Bahnen à 270,0 x 83,0 cm"
Medaillon-Tapete à la chinoise,描述,"Die Geschichte der Wandbekleidung erlebte eine wahrhaft exotische Bereicherung durch die Einfuhr chinesischer Papiertapeten. In der zweiten Hälfte des 18. Jahrhunderts erfreuten sich chinesische Tapeten größter Beliebtheit und waren zu einem begehrten Luxusartikel geworden. Wandfüllende figürliche Szenerien oder blühende Bäume wurden in Kanton für den Export nach Europa in Gouachetechnik auf Papier gemalt. Eine Variante stellen die so genannten „Printroom“ oder „Medaillon-Tapeten à la Chinoise“ dar.  Die Printroom-Tapeten waren in den frühen 1750er Jahren in England als neue Tapetenmode aufgekommen. Dabei hatte man Kupferstiche direkt auf die Wand oder auf papierenen Untergrund geklebt und umrahmt, beziehungsweise in Dekorationssysteme mit Bordüren, Girlanden, Festons etc hineingesetzt. Diese Art und Weise wurde auf die Chinatapeten übertragen. Auf farbigen Tapetengrund wurden ovale oder rechteckige Bilder mit chinesischen Malereien geklebt und mit zarten Blüten und Blätterwerk eingefasst. Als diese zunächst in England hergestellten Tapeten in ganz Europa zum begehrten Modeartikel geworden waren, konnte man sie ebenso als fertige Rollenware spätestens ab den 1780er Jahren in Fernost bestellen. 

Die Medaillon-Tapete des Kunstgewerbemuseums, weist große Ähnlichkeiten zur heute leider zerstörten Tapete im 1798/99 erbauten Schloss Freienwalde auf. Beide zeigen hochrechteckige Bildfelder, die oben und unten jeweils von ovalen Medaillons begleitet werden. Die Malereien schildern Alltagsszenen, wie eine Reisernte, das Bemalen von Porzellan, Verkauf von Stoffen oder eine Bootsfahrt. Umrahmt werden die Bilder von zarten Blütenranken auf türkisblauen Grund. Ein feines Gitterwerk aus Bambus gliedert die Wand in Anlehnung an die damals beliebten Spaliere.

Das späte Entstehungsdatum der Tapete und der Malstil der Umrandung sowie des eigentümlich verfremdeten Spaliergitter weisen auf ein Entstehungsdatum am Ende des 18. Jahrhundert in China."
Medaillon-Tapete à la chinoise,图片链接,https://recherche.smb.museum/images/3418738_300x300.jpg
Medaillon-Tapete à la chinoise,详情链接,https://id.smb.museum/object/1627324/medaillon-tapete-a-la-chinoise
Chinesische Kanne in europäischer Metallfassung,属于,Staatliche Museen zu Berlin
Chinesische Kanne in europäischer Metallfassung,年代,"um 1570 (Fassung), Porzellan: Ming-Dynastie, Wan li-Ära: 1563-1620"
Chinesische Kanne in europäischer Metallfassung,材料,"Kanne: Porzellan mit Unterglasurmalerei, Fassung: Silber, z.T. gegossen, getrieben, vergoldet"
Chinesische Kanne in europäischer Metallfassung,大小,Höhe: 20 cm
Chinesische Kanne in europäischer Metallfassung,描述,"Eintrag im Inventarbuch: ""Porzellankanne in vergoldeter Silberfassung. Kanne, Porzellan, blau bemalt. Der dickbauchige Körper in sechs Felder getheilt, in denen große Blattpflanzen; am Halsansatz Määnder; am kurzen, oben sternförmig ausgebildeten Hals selbst Zweig mit Vogel. Der schmale, geschweifte Ausguß mit erhaben astartigem Ansatz. - Fassung, Silber vergoldet: Über Ringfuß steigen vier schale Reifen auf, welche am Halsansatz durch durchbrochenes Rankenwerk verbunden sind. Der Reif unter dem Ausguß geht in eine weibliche Herme aus. S-förmiger Henkel, sternförmiger Klappdeckel und Stöpsel an einer Kette. Bezeichnet [Fassung]: G. B. und E.""

Angekauft wurde die Kanne im Jahr 1889 von dem Tuchfabrikanten und Kunstsammler Richard Zschille aus Großenhain.

Die fein gearbeitete Metallfassung, die aufgrund der Punzierung dem Erfurter Goldschmied Georg Berger (Schaffenszeit 1560 bis 1577) zugeschrieben wird, zeugt von der hohen Wertschätzung für das seltene chinesische Porzellan.

ClKa"
Chinesische Kanne in europäischer Metallfassung,图片链接,https://recherche.smb.museum/images/5394159_300x300.jpg
Chinesische Kanne in europäischer Metallfassung,详情链接,https://id.smb.museum/object/2305157/chinesische-kanne-in-europaischer-metallfassung
Sitzender Luohan,属于,Staatliche Museen zu Berlin
Sitzender Luohan,年代,Ming-Dynastie-16. Jh.
Sitzender Luohan,材料,Hellgrauer Ton mit farbiger Glasur
Sitzender Luohan,大小,"Höhe x Breite x Tiefe: 95 x 68,5 x 50,5 cm (ohne Holzsockel)"
Sitzender Luohan,描述,[SM8HF]
Sitzender Luohan,图片链接,https://recherche.smb.museum/images/4524363_300x300.jpg
Sitzender Luohan,详情链接,https://id.smb.museum/object/986879/sitzender-luohan
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",属于,Staatliche Museen zu Berlin
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",年代,"Yuan-Dynastie (Yüan), später"
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",材料,"Bronze, mit Resten von Goldfassung"
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",大小,Höhe x Breite: 29 x 22 cm
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",描述,"""Der buddhistische Bettelmönch Budai ... mit Rosenkranz. ... Sockel auf der Rückseite stark beschädigt.""  Derbe Arbeit (R. Violet, 1969)"
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",图片链接,https://recherche.smb.museum/images/2876778_300x300.jpg
"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",详情链接,https://id.smb.museum/object/137767/lachender-maitreya-xiaokou-milefo-%E7%AC%91%E5%8F%A3%E5%BD%8C%E5%8B%92%E4%BD%9B-monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A
Vase mit geschnittenem Lotosblütendekor und Holzsockel,属于,Staatliche Museen zu Berlin
Vase mit geschnittenem Lotosblütendekor und Holzsockel,年代,"Qing-Dynastie, Qianlong-Ära (1735-1796), um 1740/50"
Vase mit geschnittenem Lotosblütendekor und Holzsockel,材料,"Glas mit geschnittenem Überfang, modelgeblasen und frei geformt; Tropenholz, geschnitzt"
Vase mit geschnittenem Lotosblütendekor und Holzsockel,大小,"Höhe: 15,5 cm (Vase ohne Sockel)"
Vase mit geschnittenem Lotosblütendekor und Holzsockel,描述,"Die eiförmige Vase besteht aus opakem türkisblauem Glas, das dickwandig mit opakem rot-braunem Glas überfangen (überstochen) ist. Der Dekor in poliertem Hochschnitt zeigt ein Relief aus einer großen Lotosblüte mit zwei Knospen in verschiedenen Entwicklungsstadien sowie eine fliegende Libelle, zwei Zweige und drei Blätter. Der Untergrund ist mit einem Flachrelief aus unregelmäßigen Zweigstrukturen und Durchbohrungen unterhalb des welligen Mündungsrandes dekoriert. Der Holzsockel besteht aus zwei zusammengesetzten Teilen und weist einen Schnitzdekor aus wasserartigen Wirbeln und Schaumkronen.
Zu den frühen Erwerbungen des Berliner Kunstgewerbemuseums zählen auch Ostasiatika. Das Museum verstand sich damals als Vorbildersammlung und Ideengeber für die zeitgenössische Kunst(gewerbe)-Produktion. Von der Kunst und Ästhetik Ostasiens versprach man sich neue Impulse.
Eine umfangreiche Sammlung japanischer und vor allem chinesischer Kunstwerke stammt aus dem Besitz des deutschen Gesandten in Peking, Max von Brandt (1835-1920). Die 1885 im Berliner Kunstgewerbemuseum anlässlich dieser Neuerwerbung ausgestellten chinesischen Überfanggläser beeinflussten die Glaskunst von Émile Gallé (1861-1904).

Bezeichnung: Chinesische Schriftzeichen in vertikaler Anordnung in Liniengravur (auf halber Wandungshöhe)

Lit.: Claudia Kanowski, in: Details! 100 Lieblingswerke im Kunstgewerbemuseum, Dresden, Berlin 2018, S. 180f.; Claudia Kanowski, ""Das Kunstgewerbe sucht begehrlich nach frischen Motiven"". Die Ostasiatika-Sammler Max von Brandt und Ernst Ohlmer im Kontext der Gründung des Berliner Kunstgewerbemuseums vor einhundertfünfzig Jahren, in: Matthias Weiß u.a. (Hg.): Wechselblicke. Zwischen China und Europa 1669-1907, Ausst. Kat. Kunstbibliothek SMB, Berlin, Petersberg 2017, S. 89.; Arthus Pabst: Chinesische Glasarbeiten, in: Kunstgewerbeblatt 1 (1885), S. 41, Abb. 2.

ClKa"
Vase mit geschnittenem Lotosblütendekor und Holzsockel,图片链接,https://recherche.smb.museum/images/5881385_300x300.jpg
Vase mit geschnittenem Lotosblütendekor und Holzsockel,详情链接,https://id.smb.museum/object/884941/vase-mit-geschnittenem-lotosblutendekor-und-holzsockel
Siegel mit Knauf in Form eines Drachens zwischen Wolken,属于,Staatliche Museen zu Berlin
Siegel mit Knauf in Form eines Drachens zwischen Wolken,年代,Qing (Mandschu) –Dynastie-18./19. Jh.
Siegel mit Knauf in Form eines Drachens zwischen Wolken,材料,Weißer Jade mit braunen Flecken an der Außenseite
Siegel mit Knauf in Form eines Drachens zwischen Wolken,大小,"Höhe x Breite x Tiefe: 3,8 x 2,9 x 2,9 cm"
Siegel mit Knauf in Form eines Drachens zwischen Wolken,描述,[SM8HF]
Siegel mit Knauf in Form eines Drachens zwischen Wolken,图片链接,https://recherche.smb.museum/images/5686865_300x300.jpg
Siegel mit Knauf in Form eines Drachens zwischen Wolken,详情链接,https://id.smb.museum/object/2391042/siegel-mit-knauf-in-form-eines-drachens-zwischen-wolken
Siegel mit Knauf in Form eines Löwen,属于,Staatliche Museen zu Berlin
Siegel mit Knauf in Form eines Löwen,年代,Qing (Mandschu) –Dynastie-18./19. Jh.
Siegel mit Knauf in Form eines Löwen,材料,Shoushan-Stein
Siegel mit Knauf in Form eines Löwen,大小,"Objektmaß: 5,9 x 2,5 x 2,5 cm"
Siegel mit Knauf in Form eines Löwen,描述,[SM8HF]
Siegel mit Knauf in Form eines Löwen,图片链接,https://recherche.smb.museum/images/5686866_300x300.jpg
Siegel mit Knauf in Form eines Löwen,详情链接,https://id.smb.museum/object/1920571/siegel-mit-knauf-in-form-eines-lowen
Siegel mit Knauf in Form eines Drachens,属于,Staatliche Museen zu Berlin
Siegel mit Knauf in Form eines Drachens,年代,Qing (Mandschu) –Dynastie-18./19. Jh.
Siegel mit Knauf in Form eines Drachens,材料,Weißlicher Jade
Siegel mit Knauf in Form eines Drachens,大小,"Höhe x Breite x Tiefe: 3,4 x 3,2 x 3,2 cm"
Siegel mit Knauf in Form eines Drachens,描述,[SM8HF]
Siegel mit Knauf in Form eines Drachens,图片链接,https://recherche.smb.museum/images/5686851_300x300.jpg
Siegel mit Knauf in Form eines Drachens,详情链接,https://id.smb.museum/object/1920568/siegel-mit-knauf-in-form-eines-drachens
LANDCARPET Europe,属于,Staatliche Museen zu Berlin
LANDCARPET Europe,年代,2007 (Entwurf)
LANDCARPET Europe,材料,"neuseeländische Wolle, handgetuftet auf Gewebe"
LANDCARPET Europe,大小,Länge x Breite x Höhe: 240 x 180 x 2 cm
LANDCARPET Europe,描述,"Das Design stellt einen Blick von oben auf Felder und Straßen dar und ist in Grün- und Brauntönen gehalten.
Dieser Teppich stammt aus der Serie Europa (Modell 1), 23. Auflage von 88. 
Es gibt außerdem Serien der Kontinente Nordamerika, Südamerika, Asien, Afrika und Australien.
Produziert von KINGTOP in Peking/China fuer Studio Florian Pucher, Wien/Österreich.
Siehe auch: http://www.florianpucher.com/award.html (letzter Zugriff: 10.3.2017)"
LANDCARPET Europe,图片链接,https://recherche.smb.museum/images/5268406_300x300.jpg
LANDCARPET Europe,详情链接,https://id.smb.museum/object/2284806/landcarpet-europe
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",属于,Staatliche Museen zu Berlin
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",年代,Ende 19. Jahrhundert
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",材料,"Holz, bemalt, vergoldet"
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",大小,"Objektmaß: 97 x 89 x 56,5 cm"
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",描述,"Marici (Göttin des Großen Wagens), chinesisch auch 摩利支天菩萨, also als Bodhisattva bezeichnet."
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",图片链接,https://recherche.smb.museum/images/1465834_300x300.jpg
"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",详情链接,https://id.smb.museum/object/146281/marici-chin--molizhi-tianhou-%E6%91%A9%E9%87%8C%E6%94%AF-%E5%A4%A9%E5%90%8E
Flying whirl,属于,Staatliche Museen zu Berlin
Flying whirl,年代,2006
Flying whirl,材料,"Metall, Kunststoff"
Flying whirl,大小,Durchmesser: je 11 cm
Flying whirl,描述,"Die Nadeln mit verschiedenen Motiven und in unterschiedlichen Farben sind zum Transport und der Aufbewhrung in weiße Kunststoffringe gesteckt.
a) Blüten: je 5 Stück in den Farben rot, weiß, hellblau, mintgrün, gelb und rosa
b) Herzen: je 5 Stück in den Farben rot, rosa, weiß, hellblau, grün und gelb
c) Blätter: je 5 Stück in den Farben rot, pink, weiß, türkis, gelb und grün
Auf dem Kunststoffring der Blätter ist in der Mitte ein Etikett mit Logo, der Aufschrift ""Flying Whirl, Made in China"". Die Nadeln sind 5 cm lang."
Flying whirl,图片链接,https://recherche.smb.museum/images/4637958_300x300.jpg
Flying whirl,详情链接,https://id.smb.museum/object/1925568/flying-whirl
ISTAF 1937-2007,属于,Staatliche Museen zu Berlin
ISTAF 1937-2007,年代,2007
ISTAF 1937-2007,材料,"Polyester, bedruckt"
ISTAF 1937-2007,大小,Höhe x Breite: 48 x 49 cm
ISTAF 1937-2007,描述,"Weiss-hellblaues Tuch aus Polyester; hergestellt: made in China; 
weißer Grund, hellblau bedruckt, Symbole und Schriftzug zum ISTAF (großes Leichtathletik-Ereignis in Berlin jährlich)
Druckaufschrift: 1937-2007 DKB-ISTAF Berlin"
ISTAF 1937-2007,图片链接,https://recherche.smb.museum/images/2849053_300x300.jpg
ISTAF 1937-2007,详情链接,https://id.smb.museum/object/1454633/istaf-1937-2007
Joker,属于,Staatliche Museen zu Berlin
Joker,年代,1994
Joker,材料,Kunststoff (weich und hart)
Joker,大小,Höhe x Breite x Tiefe: stehend 12 x 7 x 4 cm
Joker,描述,"Spielfigur ""Joker"", Merchandising zum Film ""Batman"" (USA 1989)"
Joker,图片链接,https://recherche.smb.museum/images/2591481_300x300.jpg
Joker,详情链接,https://id.smb.museum/object/1399734/joker
Batcycle,属于,Staatliche Museen zu Berlin
Batcycle,年代,1994
Batcycle,材料,"Kunststoff, Gummi"
Batcycle,大小,"Höhe x Breite x Tiefe: max. (wenn Figur aufgerichtet) 12 x 7,5 x 16 cm"
Batcycle,描述,"Spielfigur ""Batman"" auf aufziehbarem ""Batcycle"" (Motorrad), Merchandising zum Film ""Batman"" (USA 1989)"
Batcycle,图片链接,https://recherche.smb.museum/images/2591480_300x300.jpg
Batcycle,详情链接,https://id.smb.museum/object/1399718/batcycle
Raphael,属于,Staatliche Museen zu Berlin
Raphael,年代,1994
Raphael,材料,Kunststoff
Raphael,大小,Höhe x Breite x Tiefe: Figur zusammengeklappt ca. 8 x 10 x 14 cm
Raphael,描述,"Die auf allen Vieren stehende, große und recht massive Figur ""Raphael"" verbirgt in ihrem Inneren eine Art Geheimzentrale oder Festung. Klappt man den Panzer nach oben kommt eine Innenwelt zum Vorschein, die wiederum weiter aufgeklappt werden kann und zwei Minifiguren enthält.
Merchandising zum Film ""Turtles"" (USA 1990)"
Raphael,图片链接,https://recherche.smb.museum/images/2591477_300x300.jpg
Raphael,详情链接,https://id.smb.museum/object/1399653/raphael
Mutatin' Leonardo,属于,Staatliche Museen zu Berlin
Mutatin' Leonardo,年代,1992
Mutatin' Leonardo,材料,"Kunststoff, Gummi"
Mutatin' Leonardo,大小,Höhe x Breite x Tiefe: Figur stehend 12 x 7 x 6 cm
Mutatin' Leonardo,描述,"Spielfigur ""Mutatin' Leonardo"" kann von einer harmlos aussehenden Schildkröte durch Umbauen in eine kämpferisch aussehende Ninja-Riesen-Schildkröte umgewandelt werden. Dazu muss man den Panzer am Kopf nach oben ziehen. Unter dem Panzer verbirgt sich ein zweiter Kopf und andere Arme/Flossen. Merchandising zum Film ""Turtles"" (USA 1990)"
Mutatin' Leonardo,图片链接,https://recherche.smb.museum/images/2591475_300x300.jpg
