id,museum,title,era,material,size,description,detail_url,image,download_link
11,Staatliche Museen zu Berlin,Teeschale,Südliche Song-Dynastie-12./13. Jh.,Sandfarbener Ton mit hellbrauner Glasur,"Höhe x Durchmesser: 4,4 x 14,7 cm",[SM8HF],https://id.smb.museum/object/1910345/teeschale,https://recherche.smb.museum/images/4617546_300x300.jpg,https://recherche.smb.museum/images/4617546_300x300.jpg
12,Staatliche Museen zu Berlin,Kopfstütze mit Landschaftsdekor,"Song-Dynastie, 13. Jh.-Jin-Dynastie-bzw. Song-Dynastie","Glasiertes Steinzeug mit brauner Bemalung, Cizhou-Ware",Höhe x Breite x Tiefe: 13 x 27 x 24 cm,"Eine Darstellung aus dem Genre der Landschaftsmalerei, die in einen locker skizzierten geschweiften Rahmen gefasst ist, schmückt die schräge Oberseite dieser Kopfstütze. Bei einer Baumgruppe zur Linken steht ein Mann auf einer Landzunge und blickt zu einem Wasserfall am jenseitigen Ufer, der aus einem steilen überhängenden Felsen herabstürzt. Die hohe Wand der Kopfstütze zeigt in großzügig-spontaner Malweise stilisierte Rankenmotive. Die Bemalung steht über einer weißen Engobe, um für den Dekor einen starken farblichen Kontrast zu erzielen. Nicht nur in Cizhou, dem heutigen Kreis Ci in der Provinz Hebei, wurde die für ihre robuste Formgebung und die Frische und Unmittelbarkeit ihres Dekors bekannte Alltagsware hergestellt, Produktionsstätten waren im ganzen nordchinesischen Raum verbreitet. Die Kopfstütze in der Berliner Sammlung gehört mit der Darstellung einer stimmungsvollen Landschaft zu den schönsten bemalten Beispielen, die sich in der von den Jurchen gegründeten Jin-Dynastie besonderer Beliebtheit erfreuten. Keramische Kopfstützen, die in den Sommermonaten dem Nacken als kühlender Ruheplatz dienen konnten, wurden während der Tang-Dynastie (618–906) beliebt und zählten zu gebräuchlichen Produkten einer Reihe bedeutender Brennöfen in der Song- und Yuan-Dynastie (10. bis 14. Jh.). Neben den Kopfstützen der volkstümlichen Cizhou-Ware waren auch die verfeinerten, in der Vielfalt ihrer Formschöpfungen und Raffinesse der Dekore bestechenden Produkte der Ding- und Yingqing-Öfen gefragt.",https://id.smb.museum/object/975447/kopfstutze-mit-landschaftsdekor,https://recherche.smb.museum/images/1214952_300x300.jpg,https://recherche.smb.museum/images/1214952_300x300.jpg
13,Staatliche Museen zu Berlin,"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",17. Jh.,"Eisen, Reste von Goldbemalung","Objektmaß: 61 x 59,5 x 62,5 cm","&nbsp;Im Mahayana-Buddhismus betrachtet man auch historische Personen als Wiedergeburt eines erleuchteten Wesens, sog. Bodhisattva. Der Budai heshang (Hanfsack-Mönch, ca. 9. Jh.) gilt als Verkörperung des zukünftigen Buddha Maitreya. und ist bis heute eine der populärsten buddhistischen Heilsgestalten Ostasiens. Mit dickem Bauch, lachend und in verlotterter Kleidung ist er als ein in den Tag hineinlebender Vagabund dargestellt, der sich nicht für das Studium heiliger Schriften interessiert. Damit stellt er das asketische Ideal des studierenden Mönchs infrage und zeigt, dass Erleuchtung und Befreiung aus dem Geburtenkreislauf auch ohne strenge Regeln möglich sind.",https://id.smb.museum/object/608873/monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A-dickbauchmaitreya-da-duzi-milefo-%E5%A4%A7%E8%82%9A%E5%AD%90%E5%BD%8C%E5%8B%92%E4%BD%9B-monch,https://recherche.smb.museum/images/2357833_300x300.jpg,https://recherche.smb.museum/images/2357833_300x300.jpg
14,Staatliche Museen zu Berlin,"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",sp. Yuan-Dynastie (Yüan)/f. Ming-Zeit,"Porzellan, Qingbai-Glasur","Objektmaß: 46,5 x 31 x 21 cm","Der Bodhisattva Avalokiteshvara verkörpert die selbstlose Güte Buddhas. Ein sanftes Lächeln liegt auf seinem Gesicht. Die Lotosposition seiner Beine verweist auf die Praxis der Meditation. Vermutlich hatte die weiße Glasur eine rituelle Funktion. Ein Ritualhandbuch aus der Mongolenzeit (1279–1368) beschreibt, dass die Praktizierenden sich selbst als mondgleich weiß imaginieren sollen, um sich mit Avalokiteshvara zu identifizieren – um dann, als dessen Verkörperung, Verstorbene von Höllenqualen zu erlösen.",https://id.smb.museum/object/1025129/guanyin-bodhisattva--der-barmherzigkeit-chin--guanyin-pusa-%E8%A7%80%E9%9F%B3%E8%8F%A9%E8%96%A9,https://recherche.smb.museum/images/2337928_300x300.jpg,https://recherche.smb.museum/images/2337928_300x300.jpg
15,Staatliche Museen zu Berlin,Manichäische Buchillustration,9./10. Jahrhundert,Illustriertes Manuskript,"Bildmaß: 17,2 x 11,2 cm",,https://id.smb.museum/object/815294/manichaische-buchillustration,https://recherche.smb.museum/images/4511093_300x300.jpg,https://recherche.smb.museum/images/4511093_300x300.jpg
16,Staatliche Museen zu Berlin,duttar,,,,,https://id.smb.museum/object/256124/duttar,https://recherche.smb.museum/images/3467296_300x300.jpg,https://recherche.smb.museum/images/3467296_300x300.jpg
17,Staatliche Museen zu Berlin,Medaillon-Tapete à la chinoise,spätes 18. Jahrhundert,"Gouache, handgeschöpftes Papier","Blattmaß: 9 Bahnen à 270,0 x 83,0 cm","Die Geschichte der Wandbekleidung erlebte eine wahrhaft exotische Bereicherung durch die Einfuhr chinesischer Papiertapeten. In der zweiten Hälfte des 18. Jahrhunderts erfreuten sich chinesische Tapeten größter Beliebtheit und waren zu einem begehrten Luxusartikel geworden. Wandfüllende figürliche Szenerien oder blühende Bäume wurden in Kanton für den Export nach Europa in Gouachetechnik auf Papier gemalt. Eine Variante stellen die so genannten „Printroom“ oder „Medaillon-Tapeten à la Chinoise“ dar.  Die Printroom-Tapeten waren in den frühen 1750er Jahren in England als neue Tapetenmode aufgekommen. Dabei hatte man Kupferstiche direkt auf die Wand oder auf papierenen Untergrund geklebt und umrahmt, beziehungsweise in Dekorationssysteme mit Bordüren, Girlanden, Festons etc hineingesetzt. Diese Art und Weise wurde auf die Chinatapeten übertragen. Auf farbigen Tapetengrund wurden ovale oder rechteckige Bilder mit chinesischen Malereien geklebt und mit zarten Blüten und Blätterwerk eingefasst. Als diese zunächst in England hergestellten Tapeten in ganz Europa zum begehrten Modeartikel geworden waren, konnte man sie ebenso als fertige Rollenware spätestens ab den 1780er Jahren in Fernost bestellen. 

Die Medaillon-Tapete des Kunstgewerbemuseums, weist große Ähnlichkeiten zur heute leider zerstörten Tapete im 1798/99 erbauten Schloss Freienwalde auf. Beide zeigen hochrechteckige Bildfelder, die oben und unten jeweils von ovalen Medaillons begleitet werden. Die Malereien schildern Alltagsszenen, wie eine Reisernte, das Bemalen von Porzellan, Verkauf von Stoffen oder eine Bootsfahrt. Umrahmt werden die Bilder von zarten Blütenranken auf türkisblauen Grund. Ein feines Gitterwerk aus Bambus gliedert die Wand in Anlehnung an die damals beliebten Spaliere.

Das späte Entstehungsdatum der Tapete und der Malstil der Umrandung sowie des eigentümlich verfremdeten Spaliergitter weisen auf ein Entstehungsdatum am Ende des 18. Jahrhundert in China.",https://id.smb.museum/object/1627324/medaillon-tapete-a-la-chinoise,https://recherche.smb.museum/images/3418738_300x300.jpg,https://recherche.smb.museum/images/3418738_300x300.jpg
18,Staatliche Museen zu Berlin,,17./18. Jahrhundert-Datierung engl.: 17th - 18th century,"Kupferlegierung, gegossen","Höhe: 0,6 cm","Gegossener Spiegel. Die Rückseite des Spiegels ist durch drei erhabene konzentrische Ringe gegliedert. Die dazwischen entstehenden Flächen sind mit chinesischen (?) Zeichen bedeckt. Der Spiegel hat weder einen Griff noch eine Öse. Die Vorderseite ist glatt poliert. Gefunden wurde er in Südrussland.
Spiegel aus hochpoliertem Metall fanden nicht nur in der persönlichen Schönheitspflege Anwendung; sie wurden auch für magische und astrologische Zwecke eingesetzt. Von der reflektierenden Oberfläche versprach man sich apotropäische, übelabwehrende Kräfte.",https://id.smb.museum/object/1912869/spiegel-sonderform,https://recherche.smb.museum/images/4810322_300x300.jpg,https://recherche.smb.museum/images/4810322_300x300.jpg
19,Staatliche Museen zu Berlin,,17./18. Jahrhundert-Datierung engl.: 17th - 18th century,"Kupferlegierung, gegossen","Höhe: 0,15 cm","Gegossenes Amulett aus einer Kupferlegierung. Das flache, runde Amulett ist in der Mitte durchlocht. Darum herum sind chinesische Schriftzeichen angeordnet, die von einem Mäanderfries begrenzt werden. Außen sind in kleinen Feldern die zwölf chinesischen Tierkreissymbole angeordnet. 
Auf der Rückseite sind Phönix, ein Bogenschütze, ein Tempel und ein Drache (?) dargestellt. 
Das Objekt wurde im Iran als vermeintlicher Spiegel erworben.",https://id.smb.museum/object/1912837/amulett-anhanger,https://recherche.smb.museum/images/4810367_300x300.jpg,https://recherche.smb.museum/images/4810367_300x300.jpg
20,Staatliche Museen zu Berlin,Chinesische Kanne in europäischer Metallfassung,"um 1570 (Fassung), Porzellan: Ming-Dynastie, Wan li-Ära: 1563-1620","Kanne: Porzellan mit Unterglasurmalerei, Fassung: Silber, z.T. gegossen, getrieben, vergoldet",Höhe: 20 cm,"Eintrag im Inventarbuch: ""Porzellankanne in vergoldeter Silberfassung. Kanne, Porzellan, blau bemalt. Der dickbauchige Körper in sechs Felder getheilt, in denen große Blattpflanzen; am Halsansatz Määnder; am kurzen, oben sternförmig ausgebildeten Hals selbst Zweig mit Vogel. Der schmale, geschweifte Ausguß mit erhaben astartigem Ansatz. - Fassung, Silber vergoldet: Über Ringfuß steigen vier schale Reifen auf, welche am Halsansatz durch durchbrochenes Rankenwerk verbunden sind. Der Reif unter dem Ausguß geht in eine weibliche Herme aus. S-förmiger Henkel, sternförmiger Klappdeckel und Stöpsel an einer Kette. Bezeichnet [Fassung]: G. B. und E.""

Angekauft wurde die Kanne im Jahr 1889 von dem Tuchfabrikanten und Kunstsammler Richard Zschille aus Großenhain.

Die fein gearbeitete Metallfassung, die aufgrund der Punzierung dem Erfurter Goldschmied Georg Berger (Schaffenszeit 1560 bis 1577) zugeschrieben wird, zeugt von der hohen Wertschätzung für das seltene chinesische Porzellan.

ClKa",https://id.smb.museum/object/2305157/chinesische-kanne-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394159_300x300.jpg,https://recherche.smb.museum/images/5394159_300x300.jpg
21,Staatliche Museen zu Berlin,Sitzender Luohan,Ming-Dynastie-16. Jh.,Hellgrauer Ton mit farbiger Glasur,"Höhe x Breite x Tiefe: 95 x 68,5 x 50,5 cm (ohne Holzsockel)",[SM8HF],https://id.smb.museum/object/986879/sitzender-luohan,https://recherche.smb.museum/images/4524363_300x300.jpg,https://recherche.smb.museum/images/4524363_300x300.jpg
22,Staatliche Museen zu Berlin,,,Gewebe; Seidenstickerei,Höhe x Breite: 21 x 31 cm,"Frauenhose, gestickt.",https://id.smb.museum/object/3500685/hosenstickerei,https://recherche.smb.museum/images/1535995_300x300.jpg,https://recherche.smb.museum/images/1535995_300x300.jpg
23,Staatliche Museen zu Berlin,,,Gewebe; Seidenstickerei,Höhe x Breite: 21 x 31 cm,"Frauenhose, gestickt.",https://id.smb.museum/object/188205/hosenstickerei,https://recherche.smb.museum/images/1535995_300x300.jpg,https://recherche.smb.museum/images/1535995_300x300.jpg
24,Staatliche Museen zu Berlin,,,"Baumwolle; Gewebe (Kattun); Seidengarn, Metallperlen, Metallringe, Glasperlen",Objektmaß: 155 x 30 x 10 cm (gesamt mit Zopfteil),"Die Teile des Außen- und Innenstoffes sind aufeinander abgestimmt. Beim Zopfteil hat der Innenstoff abweichend von den beiden anderen Lagen ein kleines Teil, das über die Verbindungsstelle von Mütze und Zopfteil geht. Material der Mütze: Baumwollstoff, Kattun, Material der Verzierung: Seide. Besonderheit: an den Ohrenteilen 38 Doppelkügelchen aus Zinn oder Zink, 9 Glasperlen und 2 Eisenringe.

Veröffentlicht in ""Mützen aus Zentralasien und Persien"", Abb. 93.",https://id.smb.museum/object/188169/frauenkappe-mutze,https://recherche.smb.museum/images/1335352_300x300.jpg,https://recherche.smb.museum/images/1335352_300x300.jpg
25,Staatliche Museen zu Berlin,,,Baumwolle; Seidengarn,Höhe x Breite: 32 x 64 cm,Hosenbein (bildet mit I B 4303a ein Paar),https://id.smb.museum/object/188187/hosenbeinteil,https://recherche.smb.museum/images/1536812_300x300.jpg,https://recherche.smb.museum/images/1536812_300x300.jpg
26,Staatliche Museen zu Berlin,,,"Baumwollgewebe, bestickt",Höhe x Breite: 38 x 69 cm,"zu Material (falsche Angaben in Tabelle, nicht änderbar):
Grundgewebe: Baumwolle, ungebleicht, leinenbindig
Stickerei: Flachstiche, flächenfüllend den Motiven entsprechend / Kettenstich für Linien: Seidengarne, dunkelrot und wenig Grün",https://id.smb.museum/object/188161/hosenbeinteil,https://recherche.smb.museum/images/1536817_300x300.jpg,https://recherche.smb.museum/images/1536817_300x300.jpg
27,Staatliche Museen zu Berlin,"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著","Yuan-Dynastie (Yüan), später","Bronze, mit Resten von Goldfassung",Höhe x Breite: 29 x 22 cm,"""Der buddhistische Bettelmönch Budai ... mit Rosenkranz. ... Sockel auf der Rückseite stark beschädigt.""  Derbe Arbeit (R. Violet, 1969)",https://id.smb.museum/object/137767/lachender-maitreya-xiaokou-milefo-%E7%AC%91%E5%8F%A3%E5%BD%8C%E5%8B%92%E4%BD%9B-monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A,https://recherche.smb.museum/images/2876778_300x300.jpg,https://recherche.smb.museum/images/2876778_300x300.jpg
28,Staatliche Museen zu Berlin,Vase mit geschnittenem Lotosblütendekor und Holzsockel,"Qing-Dynastie, Qianlong-Ära (1735-1796), um 1740/50","Glas mit geschnittenem Überfang, modelgeblasen und frei geformt; Tropenholz, geschnitzt","Höhe: 15,5 cm (Vase ohne Sockel)","Die eiförmige Vase besteht aus opakem türkisblauem Glas, das dickwandig mit opakem rot-braunem Glas überfangen (überstochen) ist. Der Dekor in poliertem Hochschnitt zeigt ein Relief aus einer großen Lotosblüte mit zwei Knospen in verschiedenen Entwicklungsstadien sowie eine fliegende Libelle, zwei Zweige und drei Blätter. Der Untergrund ist mit einem Flachrelief aus unregelmäßigen Zweigstrukturen und Durchbohrungen unterhalb des welligen Mündungsrandes dekoriert. Der Holzsockel besteht aus zwei zusammengesetzten Teilen und weist einen Schnitzdekor aus wasserartigen Wirbeln und Schaumkronen.
Zu den frühen Erwerbungen des Berliner Kunstgewerbemuseums zählen auch Ostasiatika. Das Museum verstand sich damals als Vorbildersammlung und Ideengeber für die zeitgenössische Kunst(gewerbe)-Produktion. Von der Kunst und Ästhetik Ostasiens versprach man sich neue Impulse.
Eine umfangreiche Sammlung japanischer und vor allem chinesischer Kunstwerke stammt aus dem Besitz des deutschen Gesandten in Peking, Max von Brandt (1835-1920). Die 1885 im Berliner Kunstgewerbemuseum anlässlich dieser Neuerwerbung ausgestellten chinesischen Überfanggläser beeinflussten die Glaskunst von Émile Gallé (1861-1904).

Bezeichnung: Chinesische Schriftzeichen in vertikaler Anordnung in Liniengravur (auf halber Wandungshöhe)

Lit.: Claudia Kanowski, in: Details! 100 Lieblingswerke im Kunstgewerbemuseum, Dresden, Berlin 2018, S. 180f.; Claudia Kanowski, ""Das Kunstgewerbe sucht begehrlich nach frischen Motiven"". Die Ostasiatika-Sammler Max von Brandt und Ernst Ohlmer im Kontext der Gründung des Berliner Kunstgewerbemuseums vor einhundertfünfzig Jahren, in: Matthias Weiß u.a. (Hg.): Wechselblicke. Zwischen China und Europa 1669-1907, Ausst. Kat. Kunstbibliothek SMB, Berlin, Petersberg 2017, S. 89.; Arthus Pabst: Chinesische Glasarbeiten, in: Kunstgewerbeblatt 1 (1885), S. 41, Abb. 2.

ClKa",https://id.smb.museum/object/884941/vase-mit-geschnittenem-lotosblutendekor-und-holzsockel,https://recherche.smb.museum/images/5881385_300x300.jpg,https://recherche.smb.museum/images/5881385_300x300.jpg
29,Staatliche Museen zu Berlin,,,Textil,Durchmesser: 28 cm,,https://id.smb.museum/object/2019751/rangabzeichen,https://recherche.smb.museum/images/4957981_300x300.jpg,https://recherche.smb.museum/images/4957981_300x300.jpg
30,Staatliche Museen zu Berlin,,,"Baumwolle, Seidengarn","Höhe x Breite x Tiefe: 24,5 x 62,3 x 0,3 cm",Hosenbein,https://id.smb.museum/object/188178/hosenbeinteil,https://recherche.smb.museum/images/1536809_300x300.jpg,https://recherche.smb.museum/images/1536809_300x300.jpg
31,Staatliche Museen zu Berlin,,19. Jahrhundert,"Stickerei; Seide, Gold- und Silberfäden","Höhe x Breite: 30,5 x 29,5 cm",,https://id.smb.museum/object/146854/rangabzeichen,https://recherche.smb.museum/images/4475957_300x300.jpg,https://recherche.smb.museum/images/4475957_300x300.jpg
32,Staatliche Museen zu Berlin,Militärbeamte V. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Metallgespinstfäden, Grasleinen, aufgemalte Details","Höhe x Breite: 30,2 x 31,6 cm",,https://id.smb.museum/object/146850/militarbeamte-v--klasse,https://recherche.smb.museum/images/4485040_300x300.jpg,https://recherche.smb.museum/images/4485040_300x300.jpg
33,Staatliche Museen zu Berlin,Militärbeamte IV. Klasse,,Textil,Höhe x Breite: 30 x 31 cm,,https://id.smb.museum/object/146849/militarbeamte-iv--klasse,https://recherche.smb.museum/images/4832991_300x300.jpg,https://recherche.smb.museum/images/4832991_300x300.jpg
34,Staatliche Museen zu Berlin,Militärbeamte II. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Metallgespinstfäden, Grasleinen",Höhe x Breite: 27 x 30 cm,,https://id.smb.museum/object/146847/militarbeamte-ii--klasse,https://recherche.smb.museum/images/4485041_300x300.jpg,https://recherche.smb.museum/images/4485041_300x300.jpg
35,Staatliche Museen zu Berlin,Militärbeamter I. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Metallgespinstfäden, Grasleinen","Höhe x Breite: 29,4 x 30,5 cm",,https://id.smb.museum/object/146846/militarbeamter-i--klasse,https://recherche.smb.museum/images/4485042_300x300.jpg,https://recherche.smb.museum/images/4485042_300x300.jpg
36,Staatliche Museen zu Berlin,Zivilbeamter VIII. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Gespinstfäden","Höhe x Breite: 28,5 x 31,7 cm",,https://id.smb.museum/object/146844/zivilbeamter-viii--klasse,https://recherche.smb.museum/images/4485043_300x300.jpg,https://recherche.smb.museum/images/4485043_300x300.jpg
37,Staatliche Museen zu Berlin,Zivilbeamter VII. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Metallgespinstfäden, Grasleinen","Höhe x Breite: 28,5 x 31 cm",,https://id.smb.museum/object/146843/zivilbeamter-vii--klasse,https://recherche.smb.museum/images/4485044_300x300.jpg,https://recherche.smb.museum/images/4485044_300x300.jpg
38,Staatliche Museen zu Berlin,Zivilbeamter IV. Klasse,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Kesi (Wirkerei); Seide, Goldfäden/ Gespinstfäden; Grasleinen","Höhe x Breite: 29,6 x 30,3 cm",,https://id.smb.museum/object/146840/zivilbeamter-iv--klasse,https://recherche.smb.museum/images/4485045_300x300.jpg,https://recherche.smb.museum/images/4485045_300x300.jpg
